dCoilTurns,dCoilOuter,dCoilInner,dShieldThickness,dShieldExtra,gCoilInterval,gCoilLength,gShieldThickness,gShieldExtra,mResRx,mResTx,mIndRx,mIndMutNormal,mIndTx,mIndMutMisaligned,eIndMutNormal,eIndMutMisaligned,eNormalK,eResEq,pDimension,pDimensionPenalty,pThickness,pThicknessPenalty,pNormalIndMutPenalty,pMisalignedIndMutPenalty,pNormalKPenalty,pResistancePenalty,目标函数
10,395,255,1.5,32,0.0077777777777777776,0.1275,0.0015,0.032,0.01149303546,0.01149479938,97118.1544561814,-16308.6169696003,97125.2864315557,-6399.13583143929,16.3086169696003,6.39913583143929,0.16791935836864427,0.011493917386162388,0.459,1.4099983637084434,0.008,1.22,-4.685537513664669e-41,1.471522625256529e-16,0.9594774664058404,1.4316734251264862,-5.02114925524077
12,400,275,17.5,17,0.005681818181818182,0.1375,0.0175,0.017,0.01429345332,0.01429334759,152516.73977257,-25211.1333979742,152538.706213749,-10557.4682487982,25.2111333979742,10.557468248798202,0.16528886007474647,0.014293400454902237,0.43400000000000005,1.6599999995369477,0.024,1.059999997815177,1.148402447483185,1.0517578443464395,0.9305658265395462,1.428562888383442,-7.279289004104737
12,485,200,14,13,0.012954545454545455,0.1,0.014,0.013,0.01458677718,0.01458651505,111406.334667405,-26834.5610689543,111415.474943299,-12398.4476463036,26.8345610689543,12.3984476463036,0.24086117187913086,0.014586646114411171,0.511,0.02218273971593143,0.0205,1.0949999999999804,0.017412622870547532,1.239844764582822,1.148167979038678,1.4282370598728764,-4.9508451660808355
11,485,240,21.5,1,0.01225,0.12,0.0215,0.001,0.01413634233,0.01413628952,104825.655007932,-24378.7429953672,104830.00494345,-11745.6244678539,24.3787429953672,11.7456244678539,0.23255983650780304,0.01413631592497534,0.487,1.1153622878903138,0.027999999999999997,1.018703563411657,1.194949634951726,1.174562415973002,1.1472416533542902,1.4287374267500275,-7.079556982331016
15,485,230,9.5,4,0.009107142857142857,0.115,0.0095,0.004,0.01896638283,0.0189663346,189212.158975072,-43493.4419887343,189240.28174824,-20322.6419865956,43.493441988734304,20.322641986595603,0.2298489185361981,0.018966358714984668,0.493,0.9754123453884477,0.016,1.14,-8.175407754974817e-282,2.0322641986595604,1.1468135468329506,1.423370712538906,-6.717860803419864
10,415,265,10,39,0.008333333333333333,0.1325,0.01,0.039,0.01202469367,0.01202482917,104021.265838156,-19973.7459663487,104023.348593919,-8418.99266479494,19.973745966348698,8.41899266479494,0.19201406411672226,0.01202476141980914,0.493,0.9754123453884477,0.0165,1.135,8.40533731219768e-9,1.1455985539140232e-7,1.1177095848511844,1.4310835984224344,-4.659205651627259
11,440,265,20,15,0.00875,0.1325,0.02,0.015,0.01371374436,0.01371369804,120571.29794062,-24250.0446695893,120574.554660036,-10920.1982717468,24.2500446695893,10.9201982717468,0.20112346457775915,0.013713721199980444,0.47,1.2999409827706871,0.0265,1.034991125014131,1.197768472097223,1.0919097197981187,1.1328308935503622,1.4292069764444661,-7.186648169674989
15,480,285,10,7,0.0069642857142857145,0.1425,0.01,0.007,0.02025307635,0.02025322946,235061.211414155,-51187.2975133638,235092.292248318,-24908.6316449591,51.1872975133638,24.9086316449591,0.21774717077068576,0.020253152904855316,0.494,0.9336449026565556,0.0165,1.135,0,2.4908631644959103,1.1437365921478202,1.4219409412168273,-7.1251856005171135
11,465,210,17.5,28,0.01275,0.105,0.0175,0.028,0.01317644333,0.01317644457,99635.6042591669,-23549.848685889,99643.3357171596,-10591.5714381021,23.549848685889,10.5915714381021,0.2363506018890955,0.013176443949999986,0.521,0.0007197304435765052,0.024,1.059999997815177,1.1928870298362406,1.0563085620583859,1.1477288593706352,1.4298039511666667,-5.887448130690682
10,420,240,15.5,34,0.01,0.12,0.0155,0.034,0.01168961626,0.01168944417,92705.2266214772,-18568.1357394242,92705.704042103,-7743.04964786304,18.5681357394242,7.743049647863041,0.20029170527358825,0.011689530214683318,0.488,1.0998554448424576,0.022,1.0799999999971672,2.1921264934743173e-19,1.2220844138130458e-10,1.1318687241678493,1.4314560775392406,-4.743180246668923
10,395,215,18.5,1,0.01,0.1075,0.0185,0.001,0.01081179489,0.01081177714,75077.6831463045,-12394.5989608566,75092.4256898547,-4768.64533806803,12.3945989608566,4.76864533806803,0.16507411650221102,0.010811786014996357,0.397,2.029999999999997,0.024999999999999998,1.049999939333644,-2.1556617593316564e-97,9.097255620712496e-24,0.9281519388078393,1.4324313488722262,-5.440583227013707
14,420,235,2.5,16,0.0071153846153846146,0.1175,0.0025,0.016,0.01620135232,0.0162012959,169126.427098717,-30808.1059511386,169121.274821108,-12471.2197825772,30.8081059511386,12.4712197825772,0.18216298753754806,0.01620132410997544,0.45199999999999996,1.4799998334479605,0.009,1.21,-1.0179164622165747e-31,1.2471219782346241,1.080217061695509,1.4264429732111386,-6.443781846589232
11,450,260,14.5,16,0.0095,0.13,0.0145,0.016,0.01381825169,0.01381800757,117875.092242618,-24590.6168587512,117873.205700558,-11144.4817350108,24.5906168587512,11.144481735010801,0.20861755587703804,0.013818129629460902,0.482,1.1770823046751713,0.021,1.089999999999898,1.1877890961640092,1.1144362436724207,1.1392728446829938,1.429090967078377,-7.13767145627287
14,450,235,22,33,0.00826923076923077,0.1175,0.022,0.033,0.01695399346,0.01695404024,180212.044218125,-40872.5687350795,180207.87677168,-18242.5202264461,40.8725687350795,18.2425202264461,0.22680526995048042,0.016954016849983863,0.516,0.004035992425213973,0.028499999999999998,1.008206756311851,-4.3151422134584754e-210,1.82425202264461,1.1462389463131732,1.4256066479444622,-5.40834036563931
12,420,255,10.5,7,0.0075,0.1275,0.0105,0.007,0.01431359981,0.01431355426,132799.96493734,-23537.1096525385,132771.866166387,-9937.84940761351,23.5371096525385,9.93784940761351,0.17725607182405026,0.014313577034981881,0.434,1.6599999995369483,0.017,1.13,1.1924816225653132,0.3472672458083259,1.0474244490469282,1.4285404699611313,-6.805713786918647
15,445,245,8.5,21,0.0071428571428571435,0.1225,0.0085,0.021,0.01828033433,0.01828023091,208613.157844019,-43334.684156587,208580.146819464,-18915.3859059824,43.334684156586995,18.915385905982397,0.20774391059415873,0.01828028261992686,0.487,1.1153622878903138,0.015,1.15,-3.568178128608789e-277,1.8915385905982398,1.1386868481417391,1.4241330193111925,-6.719720745941485
11,475,240,1,38,0.01175,0.12,0.001,0.038,0.01393827065,0.01393813117,110521.416271649,-25993.9893463462,110521.603934448,-12064.3130104672,25.9939893463462,12.0643130104672,0.23519393937088975,0.013938200909825527,0.5509999999999999,2.0285693982232682e-8,0.0075,1.225,1.0160458118077982,1.2064312997396314,1.147592735477852,1.4289575545446382,-6.024027421855614
13,440,260,4,24,0.0075,0.13,0.004,0.024,0.01607659038,0.0160760557,166171.583980953,-33268.4109475,166174.512423148,-14531.6275745383,33.2684109475,14.531627574538302,0.20020341029274677,0.016076323037777146,0.488,1.0998554448424576,0.010499999999999999,1.195,-6.672090542901628e-61,1.4531627574538302,1.1317628814917382,1.4265818632913587,-6.306362947079385
